カード名(Card Name),カード画像ファイル名(Japanese Image Name),英語版カード画像ファイル名(English Image Name),"ファイル名(empty(B,S),""PR""(P))",ユニット名(Unit Name),ユニット名(英語)(Unit Name in English),登場コスト(Play Cost),CCあるか(if it has CC),CCコスト(CC Cost),色①(Color 1),色②(Color 2),戦闘力(Power),支援力(Support Powr),射程①(Range①),射程②(Range②),射程③(Range③),性別(Gender),武器1(Weapon①),武器2(Weapon②),武器3(Weapon③),効果のクラス名(You don't have to care about here),効果名1(Skill Name①),効果名2(Skill Name②),効果名3(Skill Name③),効果名4(Skill Name④),支援スキル名1(Support Skill Name①),支援スキル名2(Support Skill Name①),コードが出来てるか(作者記入),カードID(increase the number by one),デッキに入れられる上限枚数(4)(max count same name in one deck),パックID,備考(empty)
異界より来た女の子 マーク（女）,B04-084N_SAMPLE,Morgan(F)_B04-084N by I deserve this,,マーク(女),Morgan(F),1,,,青,,40,20,1,,,女,剣,,,MarkOnnna_GirlFromAnotherWorld,すべての可能性,,,,計略の紋章,,〇,450,,4,
神に選ばれし者 ウード,B04-085R_SAMPLE,Owain_B04-085R by I deserve this,,ウード,Owain,3,〇,2,青,,50,10,1,,,男,剣,,,Uudo_SelectedByGod,ダメだ…! 力が…暴走する…!,烈火剣 レイジングファイヤーソード,,,,,〇,451,,4,
英雄の血を継ぐ男 ウード,B04-086N_SAMPLE,Owain_B04-086N by I deserve this,,ウード,Owain,1,,,青,,40,10,1,,,男,剣,,,Uudo_HeroBloodHeir,手加減できないぜ,,,,攻撃の紋章,,〇,452,,4,
笑顔の運び手 アズール,B04-087R_SAMPLE,Inigo_B04-087R by I deserve this,,アズール,Inigo,4,〇,3,青,,60,20,2,,,男,弓,馬,,Azuru_SmileCarrier,すぐ終わるよ,未来の弓術,飛行特効,,,,〇,453,,4,
照れ屋の傭兵 アズール,B04-088N_SAMPLE,Inigo_B04-088N by I deserve this,,アズール,Inigo,1,,,青,,40,10,1,,,男,剣,,,Azuru_TerayaMercenary,エスコート,,,,攻撃の紋章,,〇,454,,4,
気高き血統 ブレディ,B04-089HN_SAMPLE,Brady_B04-089HN by I deserve this,,ブレディ,Brady,3,〇,2,青,,50,20,1,2,,男,魔導書,,,Bledhi_ProudBlood,ケガはねぇか?,英才教育,,,,,〇,455,,4,
強面の僧侶 ブレディ,B04-090N_SAMPLE,Brady_B04-090N by I deserve this,,ブレディ,Brady,1,,,青,,30,20,,,,男,杖,,,Bledhi_StrongFacePriest,ライブ,,,,祈りの紋章,,〇,456,,4,
正々堂々 デジェル,B04-091N_SAMPLE,Kjelle_B04-091N by I deserve this,,デジェル,Kjelle,2,,,青,,40,10,1,,,女,槍,鎧,,Dejeru_Fair,重装の心得,尋常に勝負!,,,,,〇,457,,4,
正義の翼 シンシア,B04-092Rplus_SAMPLE,Cynthia_B04-092R+ by I deserve this,,シンシア,Cynthia,3,〇,2,青,,50,30,1,,,女,槍,羽,馬,Cynthia_JusticeWing,ヒーロー登場!,華麗な退場!,,,,,〇,458,,4,
英雄志願 シンシア,B04-093N_SAMPLE,Cynthia_B04-093N by I deserve this,,シンシア,Cynthia,1,,,青,,30,30,1,,,女,槍,羽,馬,Smia_FlowerScry,天空の運び手,,,,天空の紋章,,〇,459,,4,
愛慕の闘剣 セレナ,B04-094SR_SAMPLE,Severa_B04-094SR by I deserve this,,セレナ,Severa,4,〇,3,青,,70,10,1,,,女,剣,,,Serena_FighterSwordOfLove,いいとこ見せなさい!,勘違いしないでよね!,,,,,〇,460,,4,
迷いの刃 セレナ,B04-095N_SAMPLE,Severa_B04-095N by I deserve this,,セレナ,Severa,1,,,青,,40,10,1,,,女,剣,,,Serena_LostRoadSaber,少女のプライド,,,,攻撃の紋章,,〇,461,,4,
怖がりタグエル シャンブレー,B04-096N_SAMPLE,Yarne_B04-096N by I deserve this,,シャンブレー,Yarne,1,,,青,,40,10,1,,,男,獣,馬,,Shanblay_AfraidTagel,生き残る術,,,,攻撃の紋章,,〇,462,,4,
真理の探究者 ロラン,B04-097N_SAMPLE,Laurent_B04-097N by I deserve this,,ロラン,Laurent,1,,,青,,30,20,1,2,,男,魔導書,,,Miriel_CleverEye,魔道研究,,,,魔術の紋章,,〇,463,,4,
大人しい子供 ンン,B04-098HN_SAMPLE,Nah_B04-098HN by I deserve this,,ンン,Nah,2,,,青,,30,20,1,2,,女,竜石,竜,,Nn_QuietChild,長寿な竜一族,母との約束,,,,,〇,464,,4,
たまには闇天馬 エマ,B04-099HN_SAMPLE,Emma_B04-099HN by I deserve this,,エマ,Emma,3,〇,2,青,,50,30,1,,,女,槍,羽,馬,Ema_OccaisonallyDarkHorseKnight,トライアングルアタック?,,,,,,〇,465,,4,
闇道の誘い手 シェイド,B04-100HN_SAMPLE,Shade_B04-100HN by I deserve this,,シェイド,Shade,3,〇,2,青,,50,20,1,2,,女,魔導書,馬,,Shade_DarkRoadInvitor,死の口づけ,草原を駆ける者,,,,,〇,466,,4,
ロードに選ばれし若者 蒼井樹,S06-001STplus_SAMPLE,Itsuki Aoi_S06-001ST+ by I deserve this,,蒼井樹,Itsuki Aoi,4,〇,3,青,,70,20,1,,,男,剣,シャープ,,Itsuki_SelectedByLoad,震天大雷,神降ろしの才覚,,,,,〇,467,,4,
ペガサスのアイドル 織部つばさ,S06-002STplus_SAMPLE,Tsubasa Oribe_S06-002ST+ by I deserve this,,織部つばさ,Tsubasa Oribe,4,〇,3,赤,,70,20,1,,,女,槍,シャープ,,Tsubasa_PegasusIdol,ツバサに夢chu♪,目指せ一番乗り!,,,,,〇,468,,4,
爆進するヒーロー 赤城斗馬,S06-003STplus_SAMPLE,Touma Akagi_S06-003ST+ by I deserve this,,赤城斗馬,Touma Akagi,3,〇,2,赤,,60,10,1,,,男,槍,シャープ,,Toma_ExplodeGoingHero,猛牛爆進,凰牙壊炎槍,,,,,〇,469,,4,
ひと味違うカリスマ 黒乃霧亜,S06-004STplus_SAMPLE,Kiria Kurono_S06-004ST+ by I deserve this,,黒乃霧亜,Kiria Kurono,3,〇,2,青,,50,20,1,2,,女,魔導書,シャープ,,Kiria_SpecialCharisma,Reincarnation,Give Me!!,,,,,〇,470,,4,
目指せハリウッド！ 弓弦エレオノーラ,S06-005STplus_SAMPLE,Eleonora Yumizuru_S06-005ST+ by I deserve this,,弓弦エレオノーラ,Eleonora Yumizuru,3,〇,2,青,,50,20,2,,,女,弓,シャープ,,Eleonora_AimToHollowood,ホラー・ハンター,飛行特効,,,,,〇,471,,4,
フェレ家の公子 ロイ,P04-001PR_SAMPLE,Roy_P04-001PR by I deserve this,PR,ロイ,Roy,1,,,紫,,40,20,1,,,男,剣,,,Roy_FeresNobleBoy,,,,,英雄の紋章,希望の紋章,〇,472,,4,
銀の髪の乙女 ミカヤ,P04-002PR_SAMPLE,Micaiah_P04-002PR by I deserve this,PR,ミカヤ,Micaiah,1,,,緑,,30,20,1,2,,女,魔導書,,,Mikaya_SilverHairGirl,癒しの手,,,,祈りの紋章,,〇,473,,4,
妹想いの騎士 マチス,P04-003PR_SAMPLE,Matthis_P04-003PR by I deserve this,PR,マチス,Matthis,1,,,赤,,40,10,1,,,男,槍,馬,,Machis_ThinkOfSister,妹は渡さん！,,,,攻撃の紋章,,〇,474,,4,
智の深淵に挑む者 ミリエル,P04-004PR_SAMPLE,Miriel_P04-004PR by I deserve this,PR,ミリエル,Miriel,3,〇,2,青,,50,20,1,2,,女,魔導書,馬,,Miriel_ChallengeToDeepKnowledge,智者の魔法陣,,,,,,〇,475,,4,
夢見る女子高生 織部つばさ,P04-005PR_SAMPLE,Tsubasa Oribe_P04-005PR by I deserve this,PR2,織部つばさ,Tsubasa Oribe,1,,,赤,,40,20,1,,,女,槍,シャープ,,Tsubasa_DreamingHighSchoolStudent,エアリアルダンス,,,,天空の紋章,,〇,476,,4,
疾き翼の白騎士 カチュア,P04-006PR_SAMPLE,Catria_P04-006PR by I deserve this,PR,カチュア,Catria,2,,,赤,,40,30,1,,,女,槍,羽,馬,Kachua_FastWingWhiteKnight,カチュアの手槍,,,,,,〇,477,,4,
ノーマル系男子 蒼井樹,P04-007PR_SAMPLE,Itsuki Aoi_P04-007PR by I deserve this,PR1,蒼井樹,Itsuki Aoi,1,,,青,,40,20,1,,,男,剣,シャープ,,Itsuki_NormalBoy,虚空斬波,,,,英雄の紋章,,〇,478,,4,
迷いの刃 セレナ,P04-008PR_SAMPLE,Severa_P04-008PR by I deserve this,PR,セレナ,Severa,1,,,青,,40,10,1,,,女,剣,,,Serena_LostRoadSaber,少女のプライド,,,,攻撃の紋章,,〇,479,,4,
同盟軍の王子 マルス,P04-009PR_SAMPLE,Marth_P04-009PR by I deserve this,PR,マルス,Marth,2,,,赤,,50,20,1,,,男,剣,,,Mars_AlliancePrince,戦場を駆ける王子,レイピア,,,,,〇,480,,4,
ファルシオンを継ぐ姫 ルキナ,P04-010PR_SAMPLE,Lucina_P04-010PR by I deserve this,PR,ルキナ,Lucina,2,,,青,,50,20,1,,,女,剣,,,Lucina_FalcionHeir,未来の君主,裏剣 ファルシオン,,,,,〇,481,,4,
秘めし芸能の炎 蒼井樹,P04-011PR_SAMPLE,Itsuki Aoi_P04-011PR by I deserve this,PR,蒼井樹,Itsuki Aoi,3,〇,2,青,,60,20,1,,,男,剣,シャープ,,Itsuki_SealedTarrentFire,絶命剣,滅竜門,,,,,〇,482,,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
