カード名,カード画像ファイル名,英語版カード画像ファイル名,ファイル名(空白ならカード名と同じ),ユニット名,ユニット名(英語),登場コスト,CCあるか,CCコスト,色①,色②,戦闘力,支援力,射程①,射程②,射程③,性別,武器1,武器2,武器3,効果のクラス名,効果名1,効果名2,効果名3,効果名4,支援スキル名1,支援スキル名2,コードが出来てるか(作者記入),カードID,デッキに入れられる上限枚数(4),パックID,備考
天邪鬼な餓狼 フランネル,B02-089HN_SAMPLE,Keaton_B02-089HN by I deserve this,,フランネル,Keaton,3,〇,2,黒,,60,10,1,,,男,獣,馬,,Nishiki_GoldenAyakashi,ガルーのリーダー,牙を砕く牙,,,,,〇,216,,2,
人狼のリーダー フランネル,B02-090N_SAMPLE,Keaton_B02-090N by I deserve this,,フランネル,Keaton,1,,,黒,,40,10,1,,,男,獣,馬,,Nishiki_OngaeshiYouko,仲間との狩り,,,,攻撃の紋章,,〇,217,,2,
黒き神竜王子 カンナ(男),B02-091HN_SAMPLE,Kana(M)_B02-091HN by I deserve this,,カンナ(男),Kana(M),3,〇,2,黒,,50,20,1,,,男,竜,竜石,,KannnaOnnna_WhiteGodDragon,暴走する力,神祖竜の血族,,,,,〇,218,,2,
竜の巫女 カンナ(男),B02-092N_SAMPLE,Kana(M)_B02-092N by I deserve this,,カンナ(男),Kana(M),1,,,黒,,30,20,1,,,男,竜,竜石,,KannaOtoko_DragonPrince,神祖竜の血族,,,,竜人の紋章,,〇,219,,2,
美装の王子 フォレオ,B02-093Rplus_SAMPLE,Forrest_B02-093R+ by I deserve this,,フォレオ,Forrest,3,〇,2,黒,,50,20,1,2,,男,魔導書,馬,,Foreo_BeautifulDressPrince,新たな戦術,ドロー,,,,,〇,220,,2,
可愛らしい王子 フォレオ,B02-094N_SAMPLE,Forrest_B02-094N by I deserve this,,フォレオ,Forrest,1,,,黒,,30,20,,,,男,杖,馬,,Foreo_CutePrince,ライブ,僕...可愛いですか?,,,祈りの紋章,,〇,221,,2,
陽光に立つ剣士 ソレイユ,B02-095Rplus_SAMPLE,Soleil_B02-095R+ by I deserve this,,ソレイユ,Soleil,3,〇,2,黒,,60,10,1,,,女,剣,,,Azuru_FlowerLikeMan,太陽,あたしの天使!,,,,,〇,222,,2,
女の子大好き ソレイユ,B02-096N_SAMPLE,Soleil_B02-096N by I deserve this,,ソレイユ,Soleil,1,,,黒,,40,10,1,,,女,剣,,,Azuru_SmileFlower,女の子のために!,,,,攻撃の紋章,,〇,223,,2,
宵闇のソーサラー オフェリア,B02-097Rplus_SAMPLE,Ophelia_B02-97R+ by I deserve this,,オフェリア,Ophelia,3,〇,2,黒,,50,20,1,2,,女,魔導書,,,Ofelia_DarkSorcerer,乙女心の躍動,ロイヤルブラッディ・マーク,,,,,〇,224,,2,
受け継がれし感性 オフェリア,B02-098N_SAMPLE,Ophelia_B02-098N by I deserve this,,オフェリア,Ophelia,1,,,黒,,30,20,1,2,,女,魔導書,,,Henley_BrokenHeart,アウェーキング・ホーリー,,,,暗闇の紋章,,〇,225,,2,
闇影の教導者 シェイド,B02-099HN_SAMPLE,Shade_B02-099HN by I deserve this,,シェイド,Shade,3,〇,2,黒,,50,20,1,2,,女,魔導書,,,Shade_DarkShadowTutor,多彩な戦略,,,,,,〇,226,,2,
黒影の教師 シェイド,B02-100N_SAMPLE,Shade_B02-100N by I deserve this,,シェイド,Shade,1,,,黒,,30,20,1,2,,女,魔導書,,,Henley_BrokenHeart,魔の風,,,,暗闇の紋章,,〇,227,,2,
未来を選びし王女 カムイ(女),S04-001STplus_SAMPLE,Corrin(F)_S04-001ST+ by I deserve this,,カムイ(女),Corrin(F),4,〇,3,黒,,70,20,1,,,女,剣,,,KamuiOnnna_SelectedFuture,黒き波動,暗夜に捧ぐ剣,,,,,〇,228,,2,
暗夜の王太子 マークス,S04-002STplus_SAMPLE,Xander_S04-002ST+ by I deserve this,,マークス,Xander,4,〇,3,黒,,70,10,1,,,男,剣,馬,,Marks_AnnyaKingSon,神器 ジークフリート,暗夜の騎士道,,,,,〇,229,,2,
妖艶な竜魔騎士 カミラ,S04-003STplus_SAMPLE,Camilla_S04-003ST+ by I deserve this,,カミラ,Camilla,3,〇,2,黒,,50,30,1,,,女,斧,羽,竜,Kamira_SexyDragonKnight,フィンブル,闇の高鳴り,,,,,〇,230,,2,
グラビティ・マスター レオン,S04-004STplus_SAMPLE,Leo_S04_004ST+ by I deserve this,,レオン,Leo,4,〇,3,黒,,60,20,1,2,,男,魔導書,,,Leon_GravityMaster,強大なる魔導書,,,,,,〇,231,,2,
可憐な戦術師 エリーゼ,S04-005STplus_SAMPLE,Elise_S04_005ST+ by I deserve this,,エリーゼ,Elise,3,〇,2,黒,,50,20,1,2,,女,魔導書,馬,,Erese_CuteSorcerer,可憐な花,,,,,,〇,232,,2,
傭兵団の青年 アイク,P02-001PR_SAMPLE,Ike_P02-001PR by I deserve this,PR,アイク,Ike,1,,,緑,,40,20,1,,,男,剣,,,Ike_MercenaryTeamMun,若きリーダー,,,,英雄の紋章,,〇,233,,2,
白夜王国の王女 カムイ(女),P02-002PR_SAMPLE,Corrin(F)_P02-002PR by I deserve this,PR,カムイ(女),Corrin(F),1,,,白,,40,20,1,,,女,剣,,,KamuiOnnna_ByakuyaPrincess,夜刀神・幻夜,,,,英雄の紋章,,〇,234,,2,
竜姫のお目付役 バヌトゥ,P02-003PR_SAMPLE,Bantu_P02-003PR by I deserve this,PR,バヌトゥ,Bantu,2,,,赤,,30,20,1,,,男,竜石,竜,,Banutu_DragonPrincessGuard,神竜の従者,火竜石紛失,,,,,〇,235,,2,
気高き獣戦士 ベルベット,P02-004PR_SAMPLE,Panne_P02-004PR by I deserve this,PR,ベルベット,Panne,1,,,青,,40,10,1,,,女,獣,馬,,Belbet_ProudBeastWarrior,仲間との出会い,,,,攻撃の紋章,,〇,236,,2,
白夜の第一王女 ヒノカ,P02-005PR_SAMPLE,Hinoka_P02-005PR by I deserve this,PR,ヒノカ,Hinoka,1,,,白,,30,30,1,,,女,槍,羽,馬,Hinoka_ByakuyaFirstPrincess,白夜の王女,,,,天空の紋章,,〇,237,,2,
白夜の妹王女 サクラ,P02-006PR_SAMPLE,Sakura_P02-006PR by I deserve this,PR,サクラ,Sakura,1,,,白,,30,20,,,,女,杖,,,Sakura_ByakuyaJuniorPrincess,春祭,,,,祈りの紋章,,〇,238,,2,
暗夜王国の王女 カムイ(女),P02-007PR_SAMPLE,Corrin(F)_P02-007PR by I deserve this,PR1,カムイ(女),Corrin(F),1,,,黒,,40,20,1,,,女,剣,,,KamuiOnnna_AnnnaPrincess,白夜の心,夜刀神・長夜,,,英雄の紋章,,〇,239,,2,
水面の歌姫 アクア,P02-008PR_SAMPLE,Azura_P02-008PR by I deserve this,PR,アクア,Azura,1,,,黒,,30,10,1,,,女,槍,,,Aqua_WaterSurfaceSingPrincess,癒しの声,,,,歌舞の紋章,,〇,240,,2,
暁を目指す王子 カムイ(男),P02-009PR_SAMPLE,Corrin(M)_P02-009PR by I deserve this,PR,カムイ(男),Corrin(M),3,〇,2,白,,60,20,1,,,男,剣,,,KamuiOtoko_PurseuForDawn,絆の力,,,,,,〇,241,,2,
黄昏を進みし王女 カムイ(女),P02-010PR_SAMPLE,Corrin(F)_P02-010PR by I deserve this,PR,カムイ(女),Corrin(F),3,〇,2,黒,,60,20,1,,,女,剣,,,KamuiOnnna_ProceedingTwilight,望まぬ戦い,,,,,,〇,242,,2,
猛き白夜の姫 ヒノカ,P02-011PR_SAMPLE,Hinoka_P02-011PR by I deserve this,PR,ヒノカ,Hinoka,2,,,白,,40,30,1,,,女,槍,羽,馬,Hinoka_PowerfulByakuyaPrincess,紅の翼,,,,,,〇,243,,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,
